Animal,Animal_path,Camera,UAV_path,Speed,Bias,Total_hits,Actual_hits
whale_shark,stop75,sony,figure8,2,yes,0,0
whale_shark,stop75,sony,figure8,2,no,0,0
whale_shark,stop75,nadir,lawnmower,1,yes,13,2
whale_shark,stop75,nadir,lawnmower,1,no,12,2
whale_shark,stop75,nadir,lawnmower,2,yes,10,2
whale_shark,stop75,nadir,lawnmower,2,no,13,2
whale_shark,stop75,nadir,figure8,1,yes,0,0
whale_shark,stop75,nadir,figure8,1,no,0,0
whale_shark,stop75,nadir,figure8,2,yes,0,0
whale_shark,stop75,nadir,figure8,2,no,0,0
whale_shark,random60,garmin,lawnmower,1,yes,0,0
whale_shark,random60,garmin,lawnmower,1,no,0,0
whale_shark,random60,garmin,lawnmower,2,yes,0,0
whale_shark,random60,garmin,lawnmower,2,no,0,0
whale_shark,random60,garmin,figure8,1,yes,0,0
whale_shark,random60,garmin,figure8,1,no,0,0
whale_shark,random60,garmin,figure8,2,yes,0,0
whale_shark,random60,garmin,figure8,2,no,0,0
whale_shark,random60,sony,lawnmower,1,yes,0,0
whale_shark,random60,sony,lawnmower,1,no,0,0
whale_shark,random60,sony,lawnmower,2,yes,0,0
whale_shark,random60,sony,lawnmower,2,no,0,0
whale_shark,random60,sony,figure8,1,yes,0,0
whale_shark,random60,sony,figure8,1,no,0,0
whale_shark,random60,sony,figure8,2,yes,0,0
whale_shark,random60,sony,figure8,2,no,0,0
whale_shark,random60,nadir,lawnmower,1,yes,0,0
whale_shark,random60,nadir,lawnmower,1,no,0,0
whale_shark,random60,nadir,lawnmower,2,yes,0,0
whale_shark,random60,nadir,lawnmower,2,no,0,0
whale_shark,random60,nadir,figure8,1,yes,0,0
whale_shark,random60,nadir,figure8,1,no,0,0
whale_shark,random60,nadir,figure8,2,yes,0,0
whale_shark,random60,nadir,figure8,2,no,0,0
whale_shark,random120,garmin,lawnmower,1,yes,0,0
whale_shark,random120,garmin,lawnmower,1,no,0,0
whale_shark,random120,garmin,lawnmower,2,yes,0,0
whale_shark,random120,garmin,lawnmower,2,no,0,0
whale_shark,random120,garmin,figure8,1,yes,0,0
whale_shark,random120,garmin,figure8,1,no,0,0
whale_shark,random120,garmin,figure8,2,yes,0,0
whale_shark,random120,garmin,figure8,2,no,0,0
whale_shark,random120,sony,lawnmower,1,yes,0,0
whale_shark,random120,sony,lawnmower,1,no,0,0
whale_shark,random120,sony,lawnmower,2,yes,0,0
whale_shark,random120,sony,lawnmower,2,no,0,0
whale_shark,random120,sony,figure8,1,yes,0,0
whale_shark,random120,sony,figure8,1,no,0,0
whale_shark,random120,sony,figure8,2,yes,0,0
whale_shark,random120,sony,figure8,2,no,0,0
whale_shark,random120,nadir,lawnmower,1,yes,0,0
whale_shark,random120,nadir,lawnmower,1,no,0,0
whale_shark,random120,nadir,lawnmower,2,yes,0,0
whale_shark,random120,nadir,lawnmower,2,no,0,0
whale_shark,random120,nadir,figure8,1,yes,0,0
whale_shark,random120,nadir,figure8,1,no,0,0
whale_shark,random120,nadir,figure8,2,yes,0,0
whale_shark,random120,nadir,figure8,2,no,0,0
whale_shark,random180,garmin,lawnmower,1,yes,0,0
whale_shark,random180,garmin,lawnmower,1,no,0,0
whale_shark,random180,garmin,lawnmower,2,yes,0,0
whale_shark,random180,garmin,lawnmower,2,no,0,0
whale_shark,random180,garmin,figure8,1,yes,0,0
whale_shark,random180,garmin,figure8,1,no,0,0
whale_shark,random180,garmin,figure8,2,yes,0,0
whale_shark,random180,garmin,figure8,2,no,0,0
whale_shark,random180,sony,lawnmower,1,yes,0,0
whale_shark,random180,sony,lawnmower,1,no,0,0
whale_shark,random180,sony,lawnmower,2,yes,0,0
whale_shark,random180,sony,lawnmower,2,no,0,0
whale_shark,random180,sony,figure8,1,yes,0,0
whale_shark,random180,sony,figure8,1,no,0,0
whale_shark,random180,sony,figure8,2,yes,0,0
whale_shark,random180,sony,figure8,2,no,0,0
whale_shark,random180,nadir,lawnmower,1,yes,0,0
whale_shark,random180,nadir,lawnmower,1,no,0,0
whale_shark,random180,nadir,lawnmower,2,yes,0,0
whale_shark,random180,nadir,lawnmower,2,no,0,0
whale_shark,random180,nadir,figure8,1,yes,0,0
whale_shark,random180,nadir,figure8,1,no,0,0
whale_shark,random180,nadir,figure8,2,yes,0,0
whale_shark,random180,nadir,figure8,2,no,0,0
ray,straight,garmin,lawnmower,1,yes,0,0
ray,straight,garmin,lawnmower,1,no,0,0
ray,straight,garmin,lawnmower,2,yes,0,0
ray,straight,garmin,lawnmower,2,no,0,0
ray,straight,garmin,figure8,1,yes,0,0
ray,straight,garmin,figure8,1,no,0,0
ray,straight,garmin,figure8,2,yes,0,0
ray,straight,garmin,figure8,2,no,0,0
ray,straight,sony,lawnmower,1,yes,0,0
ray,straight,sony,lawnmower,1,no,0,0
ray,straight,sony,lawnmower,2,yes,0,0
ray,straight,sony,lawnmower,2,no,0,0
ray,straight,sony,figure8,1,yes,0,0
ray,straight,sony,figure8,1,no,0,0
ray,straight,sony,figure8,2,yes,0,0
ray,straight,sony,figure8,2,no,0,0
ray,straight,nadir,lawnmower,1,yes,0,0
ray,straight,nadir,lawnmower,1,no,0,0
ray,straight,nadir,lawnmower,2,yes,0,0
ray,straight,nadir,lawnmower,2,no,0,0
ray,straight,nadir,figure8,1,yes,0,0
ray,straight,nadir,figure8,1,no,0,0
ray,straight,nadir,figure8,2,yes,0,0
ray,straight,nadir,figure8,2,no,0,0
ray,stop25,garmin,lawnmower,1,yes,0,0
ray,stop25,garmin,lawnmower,1,no,0,0
ray,stop25,garmin,lawnmower,2,yes,0,0
ray,stop25,garmin,lawnmower,2,no,0,0
ray,stop25,garmin,figure8,1,yes,0,0
ray,stop25,garmin,figure8,1,no,0,0
ray,stop25,garmin,figure8,2,yes,0,0
ray,stop25,garmin,figure8,2,no,0,0
ray,stop25,sony,lawnmower,1,yes,0,0
ray,stop25,sony,lawnmower,1,no,0,0
ray,stop25,sony,lawnmower,2,yes,0,0
ray,stop25,sony,lawnmower,2,no,0,0
ray,stop25,sony,figure8,1,yes,0,0
ray,stop25,sony,figure8,1,no,0,0
ray,stop25,sony,figure8,2,yes,0,0
ray,stop25,sony,figure8,2,no,0,0
ray,stop25,nadir,lawnmower,1,yes,0,0
ray,stop25,nadir,lawnmower,1,no,0,0
ray,stop25,nadir,lawnmower,2,yes,0,0
ray,stop25,nadir,lawnmower,2,no,0,0
ray,stop25,nadir,figure8,1,yes,0,0
ray,stop25,nadir,figure8,1,no,0,0
ray,stop25,nadir,figure8,2,yes,0,0
ray,stop25,nadir,figure8,2,no,0,0
ray,stop50,garmin,lawnmower,1,yes,0,0
ray,stop50,garmin,lawnmower,1,no,0,0
ray,stop50,garmin,lawnmower,2,yes,0,0
